date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
07-02-2021,California,State,Alpha,4,1.84,18.42857143,2.80984535
07-02-2021,California,State,Other,43,19.82,156,23.78566761
08-02-2021,California,State,Alpha,18,3.63,19.57142857,3.186046512
08-02-2021,California,State,Beta,0,0,0.142857143,0.023255814
08-02-2021,California,State,Other,110,22.18,139.8571429,22.76744186
08-02-2021,California,State,Gamma,0,0,0,0
08-02-2021,California,State,Omicron,0,0,0,0
08-02-2021,California,State,Lambda,0,0,0,0
08-02-2021,California,State,Delta,0,0,0.142857143,0.023255814
08-02-2021,California,State,Mu,0,0,0,0
08-02-2021,California,State,Total,496,100,614.2857143,100
08-02-2021,California,State,Epsilon,368,74.19,454.5714286,74
09-02-2021,California,State,Mu,0,0,0,0
09-02-2021,California,State,Other,149,23.14,118.8571429,22.85086515
09-02-2021,California,State,Delta,0,0,0.142857143,0.027464982
09-02-2021,California,State,Epsilon,473,73.45,383,73.63361714
09-02-2021,California,State,Gamma,0,0,0,0
09-02-2021,California,State,Omicron,0,0,0,0
09-02-2021,California,State,Lambda,0,0,0,0
09-02-2021,California,State,Alpha,22,3.42,18,3.460587751
09-02-2021,California,State,Total,644,100,520.1428571,100
09-02-2021,California,State,Beta,0,0,0.142857143,0.027464982
10-02-2021,California,State,Gamma,0,0,0,0
10-02-2021,California,State,Lambda,0,0,0,0
10-02-2021,California,State,Delta,0,0,0.142857143,0.032268474
10-02-2021,California,State,Beta,0,0,0,0
10-02-2021,California,State,Epsilon,364,66.79,319.5714286,72.18457567
10-02-2021,California,State,Alpha,21,3.85,16.85714286,3.807679897
10-02-2021,California,State,Other,160,29.36,106.1428571,23.97547596
10-02-2021,California,State,Mu,0,0,0,0
10-02-2021,California,State,Total,545,100,442.7142857,100
10-02-2021,California,State,Omicron,0,0,0,0
11-02-2021,California,State,Omicron,0,0,0,0
11-02-2021,California,State,Total,513,100,440.7142857,100
11-02-2021,California,State,Delta,0,0,0.142857143,0.032414911
11-02-2021,California,State,Alpha,28,5.46,18.71428571,4.246353323
11-02-2021,California,State,Gamma,0,0,0,0
11-02-2021,California,State,Other,124,24.17,108.5714286,24.63533225
11-02-2021,California,State,Epsilon,361,70.37,313.2857143,71.08589951
11-02-2021,California,State,Mu,0,0,0,0
11-02-2021,California,State,Lambda,0,0,0,0
11-02-2021,California,State,Beta,0,0,0,0
12-02-2021,California,State,Delta,0,0,0.142857143,0.031162356
12-02-2021,California,State,Mu,0,0,0,0
12-02-2021,California,State,Total,409,100,458.4285714,100
12-02-2021,California,State,Lambda,0,0,0,0
12-02-2021,California,State,Other,85,20.78,110,23.99501402
12-02-2021,California,State,Epsilon,297,72.62,329,71.76690558
12-02-2021,California,State,Alpha,26,6.36,19.14285714,4.175755687
12-02-2021,California,State,Beta,1,0.24,0.142857143,0.031162356
12-02-2021,California,State,Gamma,0,0,0,0
12-02-2021,California,State,Omicron,0,0,0,0
13-02-2021,California,State,Lambda,0,0,0,0
13-02-2021,California,State,Epsilon,209,68.08,320.1428571,71.57457681
13-02-2021,California,State,Mu,0,0,0,0
13-02-2021,California,State,Omicron,0,0,0,0
13-02-2021,California,State,Other,70,22.8,105.8571429,23.6665602
13-02-2021,California,State,Total,307,100,447.2857143,100
13-02-2021,California,State,Beta,0,0,0.142857143,0.031938678
13-02-2021,California,State,Delta,0,0,0.142857143,0.031938678
13-02-2021,California,State,Alpha,28,9.12,21,4.694985628
13-02-2021,California,State,Gamma,0,0,0,0
14-02-2021,California,State,Epsilon,93,72.66,309.2857143,71.17028271
14-02-2021,California,State,Gamma,0,0,0,0
14-02-2021,California,State,Omicron,0,0,0,0
14-02-2021,California,State,Delta,0,0,0,0
14-02-2021,California,State,Mu,0,0,0,0
14-02-2021,California,State,Lambda,0,0,0,0
14-02-2021,California,State,Alpha,8,6.25,21.57142857,4.963839579
14-02-2021,California,State,Total,128,100,434.5714286,100
14-02-2021,California,State,Beta,0,0,0.142857143,0.03287311
14-02-2021,California,State,Other,27,21.09,103.5714286,23.8330046
15-02-2021,California,State,Alpha,13,5.51,20.85714286,5.248023005
15-02-2021,California,State,Other,55,23.31,95.71428571,24.08339324
15-02-2021,California,State,Total,236,100,397.4285714,100
15-02-2021,California,State,Mu,0,0,0,0
15-02-2021,California,State,Gamma,0,0,0,0
15-02-2021,California,State,Beta,0,0,0.142857143,0.035945363
15-02-2021,California,State,Epsilon,167,70.76,280.5714286,70.59669303
15-02-2021,California,State,Delta,1,0.42,0.142857143,0.035945363
15-02-2021,California,State,Omicron,0,0,0,0
15-02-2021,California,State,Lambda,0,0,0,0
16-02-2021,California,State,Alpha,39,7.47,23.28571429,6.127819549
16-02-2021,California,State,Mu,0,0,0,0
16-02-2021,California,State,Other,121,23.18,91.71428571,24.13533835
16-02-2021,California,State,Total,522,100,380,100
16-02-2021,California,State,Omicron,0,0,0,0
16-02-2021,California,State,Beta,1,0.19,0.285714286,0.07518797
16-02-2021,California,State,Delta,0,0,0.142857143,0.037593985
16-02-2021,California,State,Lambda,0,0,0,0
16-02-2021,California,State,Gamma,0,0,0,0
16-02-2021,California,State,Epsilon,361,69.16,264.5714286,69.62406015
17-02-2021,California,State,Beta,0,0,0.285714286,0.077911959
17-02-2021,California,State,Total,452,100,366.7142857,100
17-02-2021,California,State,Alpha,34,7.52,25.14285714,6.856252435
17-02-2021,California,State,Gamma,0,0,0,0
17-02-2021,California,State,Delta,0,0,0.142857143,0.03895598
17-02-2021,California,State,Other,103,22.79,83.57142857,22.78924815
17-02-2021,California,State,Omicron,0,0,0,0
17-02-2021,California,State,Epsilon,315,69.69,257.5714286,70.23763148
17-02-2021,California,State,Mu,0,0,0,0
17-02-2021,California,State,Lambda,0,0,0,0
18-02-2021,California,State,Delta,1,0.27,0.285714286,0.082304527
18-02-2021,California,State,Omicron,0,0,0,0
18-02-2021,California,State,Epsilon,254,67.55,242.2857143,69.79423868
18-02-2021,California,State,Other,90,23.94,78.71428571,22.67489712
